Origin,Destination,Travel Time,Kilometers
179,602,27.81988231,19.90471968
179,891,28.1991475,23.7567369
179,214,28.29406801,19.95888987
179,478,28.45905306,24.68087399
179,203,29.07843544,34.4375638
179,999,29.48799827,24.49952154
179,405,29.49361183,34.39209883
179,461,29.51086291,25.69019865
179,264,29.51148129,34.45131663
179,178,29.68809042,21.17411972
179,252,29.72075147,34.87572492
179,0,29.74420258,24.48087047
179,426,29.78286376,26.51311895
179,497,30.03276465,21.48608049
179,515,30.08878943,23.81060196
179,415,30.11483804,26.61192522
179,682,30.23760898,21.56500094
179,532,30.41421965,23.77909887
179,278,31.24407568,35.76421944
179,473,31.34841778,27.06057697
179,316,31.62159734,26.45607397
179,437,31.81868364,36.73675799
179,408,32.66323275,27.28597728
179,158,33.40258209,27.74911448
179,982,33.59399355,27.89810905
179,394,35.89466003,36.70579917
179,516,36.06376725,29.34692927
179,450,36.41784044,29.88568307
179,604,37.57876642,32.14802092
179,984,38.05728826,37.14925676
161,161,0,0
161,181,0.891016354,0.557532064
161,292,2.532754225,1.538129047
161,971,2.796460996,1.706620313
161,179,4.89258161,2.996957656
161,150,4.90213682,3.201650443
161,258,5.696308532,3.551240248
161,424,7.779115781,6.568216596
161,301,7.904801517,4.73111325
161,509,8.774180876,6.376787528
161,981,9.335201917,9.269513926
161,110,10.62756183,10.07852783
161,438,11.27142206,8.348744757
161,275,11.48513216,8.98895426
161,419,11.77242267,10.88389364
161,533,11.85108253,9.151190107
161,522,12.21162361,11.31929215
161,117,12.91746269,11.40724855
161,423,13.154016,11.08131009
161,490,13.93059621,11.33035227
161,801,14.29880218,11.84228292
161,248,14.91928601,12.21638811
161,436,16.59025519,13.57168174
161,477,16.63574284,13.60988491
161,212,16.78647489,13.0373714
161,464,17.53323623,13.96839918
161,451,18.25286543,14.65577948
161,488,19.56422538,17.66143142
161,499,19.81159815,15.61524806
161,455,19.98457991,18.05236841
161,605,20.02946116,18.04723217
161,168,20.23552873,15.62070326
161,192,20.82963364,15.81971479
161,457,21.29082748,24.20777758
161,383,21.38388275,18.83685163
161,218,22.70396959,20.56854869
161,479,22.92291962,20.45034987
161,602,22.97180598,17.27088557
161,328,23.07680802,27.94812241
161,891,23.35107116,21.12290279
161,214,23.44599167,17.32505576
161,478,23.61097672,22.04703988
161,999,24.63992193,21.86568743
161,461,24.66278658,23.05636454
161,178,24.84001408,18.54028561
161,0,24.89612624,21.84703636
161,426,24.93478742,23.87928484
161,750,24.95900033,29.43519718
161,497,25.18468831,18.85224639
161,412,25.22366016,29.52360534
161,515,25.2407131,21.17676785
161,415,25.2667617,23.97809112
161,190,25.32128954,24.82879283
161,682,25.38953264,18.93116683
161,532,25.56614331,21.14526477
161,223,25.63148434,29.83602199
161,473,26.50034145,24.42674287
161,252,26.71965382,25.24248146
161,316,26.773521,23.82223987
161,203,27.00295177,32.68244551
161,264,27.11103318,25.61477996
161,278,27.28197316,19.85557667
161,437,27.32148184,24.69709866
161,405,27.41812816,32.63698053
161,408,27.81515641,24.65214317
161,158,28.55450575,25.11528037
161,982,28.74591721,25.26427495
161,516,31.21569091,26.71309516
161,450,31.56976411,27.25184897
161,604,32.73069008,29.51418681
161,394,32.78147457,31.14154623
161,984,35.04186687,31.8026933
181,181,0,0
181,161,1.06936991,0.768954621
181,971,2.505061417,1.554552569
181,292,2.769509624,1.742101741
181,179,5.129337009,3.20093035
181,150,5.138892219,3.405623137
181,258,5.933063931,3.755212942
181,301,7.613401938,4.579045506
181,424,8.01587118,6.77218929
181,509,8.482781297,6.224719784
181,981,9.043802338,9.117446182
181,110,10.33616225,9.926460084
181,438,10.98002248,8.196677013
181,275,11.19373258,8.836886516
181,419,11.48102309,10.7318259
181,533,11.55968295,8.999122363
181,522,12.35138766,11.4131442
181,423,12.86261642,10.92924234
181,117,13.15421809,11.61122124
181,490,13.63919663,11.17828452
181,801,14.0074026,11.69021518
181,248,14.62788643,12.06432036
181,436,16.29885561,13.41961399
181,477,16.34434326,13.45781717
181,212,16.49507531,12.88530366
181,464,17.24183665,13.81633144
181,451,17.96146585,14.50371174
181,488,19.2728258,17.50936368
181,499,19.52019857,15.46318031
181,455,19.69318033,17.90030067
181,605,19.73806158,17.89516442
181,168,19.94412915,15.46863551
181,192,20.53823406,15.66764704
181,457,20.9994279,24.05570984
181,383,21.09248317,18.68478389
181,218,22.41257002,20.41648095
181,479,22.63152004,20.29828212
181,602,22.6804064,17.11881783
181,328,22.78540844,27.79605466
181,891,23.05967158,20.97083505
181,214,23.15459209,17.17298801
181,478,23.31957714,21.89497213
181,999,24.34852235,21.71361968
181,461,24.371387,22.9042968
181,178,24.5486145,18.38821787
181,0,24.60472666,21.69496862
181,426,24.64338784,23.7272171
181,750,24.66760075,29.28312943
181,497,24.89328873,18.70017864
181,412,24.93226058,29.3715376
181,515,24.94931352,21.02470011
181,415,24.97536212,23.82602337
181,190,25.02988996,24.67672508
181,682,25.09813306,18.77909908
181,532,25.27474373,20.99319702
181,223,25.34008476,29.68395424
181,473,26.20894187,24.27467512
181,252,26.42825424,25.09041371
181,316,26.48212142,23.67017212
181,203,26.71155219,32.53037776
181,264,26.8196336,25.46271222
