ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
286,31.53654116,25.91555609,438,604,1042,,
287,31.66000385,29.30103988,438,984,1422,,
288,33.94249711,23.70611429,438,394,832,,
289,0,0,258,258,516,,
290,0.71374381,0.273087874,258,150,408,,
291,2.37727186,1.328139819,258,179,437,,
292,4.366314265,2.419747473,258,424,682,,
293,4.782259771,2.723015095,258,292,550,,
294,5.772417462,3.823826804,258,981,1239,,
295,6.31061412,3.078367238,258,161,419,,
296,7.071561002,4.321965553,258,181,439,,
297,7.615160622,5.248852844,258,110,368,,
298,7.615160622,5.248852844,258,532,790,,
299,7.865404449,4.616990675,258,971,1229,,
300,8.299649213,6.282892755,258,522,780,,
301,8.574409577,5.686040408,258,419,677,,
302,10.43402647,9.372704585,258,509,767,,
303,11.42026127,8.93374092,258,117,375,,
304,11.4536542,9.491662407,258,301,559,,
305,14.66440144,12.43696357,258,438,696,,
306,14.70314446,13.75248002,258,533,791,,
307,14.88282719,13.5425549,258,275,533,,
308,16.3078552,14.78083299,258,490,748,,
309,17.41222077,15.97085567,258,423,681,,
310,17.50836087,15.89708591,258,477,735,,
311,17.50836087,15.89708591,258,801,1059,,
312,17.66079442,16.23872382,258,192,450,,
313,18.20312629,16.07937746,258,213,471,,
314,18.8449475,17.2441792,258,248,506,,
315,19.70500099,17.69609902,258,464,722,,
316,20.0277091,17.88749811,258,436,694,,
317,20.2968261,17.84097447,258,451,709,,
318,21.73209947,25.74833529,258,457,715,,
319,21.73209947,25.74833529,258,750,1008,,
320,22.01429813,21.40376791,258,455,713,,
321,22.55567495,18.46158775,258,499,757,,
322,22.58942463,19.28103817,258,168,426,,
323,23.18003255,27.71780135,258,328,586,,
324,23.27673127,22.6904145,258,605,863,,
325,23.30172934,22.13924333,258,488,746,,
326,23.92233396,22.54292013,258,383,641,,
327,24.35890568,29.20192015,258,412,670,,
328,25.38092466,20.72035577,258,891,1149,,
329,25.71420399,20.75635615,258,214,472,,
330,26.40277039,21.78398958,258,190,448,,
331,26.51542633,30.29286643,258,223,481,,
332,26.59132454,26.00598721,258,479,737,,
333,26.59132454,26.00598721,258,478,736,,
334,26.76600778,26.95119472,258,426,684,,
335,26.91586446,25.19438438,258,218,476,,
336,27.01935776,33.04651242,258,203,461,,
337,27.04553164,28.81119891,258,461,719,,
338,27.38995869,26.82071757,258,0,258,,
339,27.49511559,33.24036267,258,405,663,,
340,27.70047316,27.34476409,258,415,673,,
341,27.70047316,27.34476409,258,999,1257,,
342,27.88140732,33.22099732,258,178,436,,
343,27.88140732,33.22099732,258,252,510,,
344,27.95276037,22.74831092,258,497,755,,
345,28.24206266,33.57524844,258,264,522,,
346,28.26349604,34.57923376,258,437,695,,
347,28.46706646,26.22611108,258,515,773,,
348,28.62419041,23.02464093,258,682,940,,
349,29.00452921,23.23182465,258,602,860,,
350,29.15088229,34.53128128,258,278,536,,
351,29.29493636,27.60344846,258,473,731,,
352,31.21841423,29.06127146,258,316,574,,
353,31.34008355,28.96093565,258,516,774,,
354,31.4028302,28.80867151,258,408,666,,
355,31.4028302,28.80867151,258,158,416,,
356,33.33578402,35.32558512,258,984,1242,,
357,33.70058723,31.74157623,258,982,1240,,
358,34.56228891,31.21709327,258,450,708,,
359,34.6682806,36.28851104,258,394,652,,
360,35.12532883,31.62599291,258,604,862,,
361,0,0,179,179,358,,
362,2.347722989,1.329016763,179,258,437,,
363,2.874094117,1.576442454,179,150,329,,
364,3.576249649,1.792165555,179,292,471,,
365,4.867431519,2.148402102,179,161,340,,
366,5.425943385,3.232378329,179,424,603,,
367,5.628378401,3.392000418,179,181,360,,
368,6.422221848,3.687025539,179,971,1150,,
369,6.832046582,4.636457659,179,981,1160,,
370,8.459262392,6.305146141,179,522,701,,
371,8.674789741,6.0614837,179,110,289,,
372,8.674789741,6.0614837,179,532,711,,
373,9.634038697,6.498671263,179,419,598,,
374,11.16111371,8.691917004,179,117,296,,
375,11.63952632,7.318220378,179,301,480,,
376,12.43161482,10.37739742,179,509,688,,
377,14.85027356,10.26352154,179,438,617,,
378,14.88901658,11.57903799,179,533,712,,
379,15.06869931,11.36911287,179,275,454,,
380,16.49372732,12.60739097,179,490,669,,
381,17.59809289,13.79741364,179,423,602,,
382,17.69423299,13.72364388,179,477,656,,
383,17.69423299,13.72364388,179,801,980,,
384,17.84666654,14.06528179,179,192,371,,
385,18.38899841,13.90593544,179,213,392,,
386,18.82643657,14.81119445,179,248,427,,
387,19.89087311,15.52265699,179,464,643,,
388,20.21358122,15.71405608,179,436,615,,
389,20.48269822,15.66753244,179,451,630,,
390,22.20017025,19.23032589,179,455,634,,
391,22.74154706,16.28814572,179,499,678,,
392,22.77529675,17.10759614,179,168,347,,
393,23.46260339,20.51697247,179,605,784,,
394,23.48760146,19.9658013,179,488,667,,
395,23.72968782,26.75302813,179,457,636,,
396,23.72968782,26.75302813,179,750,929,,
397,24.10820608,20.3694781,179,383,562,,
398,25.17762091,28.72249419,179,328,507,,
399,25.56679678,18.54691374,179,891,1070,,
400,25.90007611,18.58291412,179,214,393,,
401,26.35649404,30.20661298,179,412,591,,
402,26.58864251,19.61054755,179,190,369,,
403,26.77719666,23.83254518,179,479,658,,
