ObjectID,ODLines1_Total_TravelTime,ODLines1_Total_Kilometers,ODLines1_Origin_School,ODLines1_Destination_School
659,27.16128889,21.19635942,450,423
660,27.84021092,22.94388837,450,477
661,27.84021092,22.94388837,450,801
662,28.1865007,29.5874604,450,509
663,28.86334899,23.9610971,450,533
664,29.81250925,24.34912278,450,275
665,31.28018007,31.72635914,450,461
666,31.81851879,23.32479838,450,438
667,32.74046575,28.38905099,450,181
668,34.0785017,36.84966894,450,161
669,34.1216151,37.17498227,450,971
670,34.43590636,29.21407178,450,301
671,34.646365,39.62220264,450,981
672,34.88302856,37.85779264,450,292
673,34.93178714,37.32775999,450,150
674,35.04012332,37.54573963,450,258
675,35.58865354,40.25444645,450,424
676,36.06297335,38.13439215,450,179
677,36.48910816,41.04722868,450,110
678,36.7642942,42.08372967,450,522
679,37.44835711,41.48441624,450,419
680,39.46614552,44.47050053,450,117
681,0,0,604,604
682,1.237075178,0.774913794,604,450
683,3.777912141,2.696566839,604,984
684,5.141133737,2.788164785,604,516
685,5.218487247,2.788557578,604,408
686,5.241557053,3.700638118,604,982
687,7.672033405,5.914789696,604,316
688,7.942633173,4.901169318,604,264
689,8.334183918,5.284332794,604,405
690,8.947785366,5.636797708,604,203
691,9.235730811,6.331943095,604,473
692,10.40838083,6.363913546,604,426
693,10.63991342,5.968823799,604,415
694,11.46684418,8.431601844,604,515
695,11.51349824,7.688709174,604,437
696,12.00594279,7.794440339,604,479
697,12.00594279,7.794440339,604,478
698,12.05410843,7.85220762,604,412
699,12.34328449,8.683356804,604,0
700,12.5738553,7.482365722,604,218
701,12.85924913,7.959945461,604,223
702,14.01670536,9.19305929,604,278
703,14.89431188,9.529710015,604,328
704,15.21786392,9.977719017,604,178
705,15.21786392,9.977719017,604,252
706,15.39625559,9.700868505,604,488
707,15.40666088,9.958868114,604,602
708,15.72843353,10.13414246,604,497
709,16.11249609,10.17808614,604,682
710,16.33355001,10.20940391,604,383
711,16.53952194,10.33710615,604,455
712,16.70251392,13.2107417,604,457
713,16.70251392,13.2107417,604,750
714,19.18321696,11.87295724,604,214
715,21.23478882,15.37867785,604,605
716,21.27431721,14.24968291,604,891
717,24.31988714,18.38329114,604,190
718,24.44350186,16.57175169,604,499
719,24.45080622,15.11346311,604,168
720,26.32767945,16.69695721,604,436
721,26.68039367,16.92574258,604,464
722,26.81397151,21.97699236,604,490
723,26.89941868,21.32332334,604,248
724,27.0016636,17.22985408,604,451
725,27.1352646,21.08124308,604,212
726,27.49855339,21.79377938,604,192
727,27.5399382,21.60525906,604,423
728,28.21886023,23.35278801,604,477
729,28.21886023,23.35278801,604,801
730,28.8636881,30.37061057,604,509
731,29.2419983,24.36999674,604,533
732,30.19115857,24.75802242,604,275
733,31.65882939,32.13525878,604,461
734,32.30386713,27.84054786,604,438
735,33.11911506,28.79795062,604,181
736,34.75568911,37.63281911,604,161
737,34.79880251,37.95813245,604,971
738,34.81455568,29.62297142,604,301
739,35.3235524,40.40535281,604,981
740,35.56021596,38.64094281,604,292
741,35.60897455,38.11091016,604,150
742,35.71731072,38.3288898,604,258
743,36.26584094,41.03759662,604,424
744,36.74016075,38.91754232,604,179
745,37.16629556,41.83037885,604,110
746,37.4414816,42.86687984,604,522
747,38.12554452,42.26756641,604,419
748,40.14333292,45.2536507,604,117
749,0,0,408,408
750,0.964022246,0.331213426,408,516
751,4.759043355,2.812160414,408,450
752,4.759421829,2.283890527,408,982
753,5.164390004,2.533161929,408,473
754,5.192550732,2.788557578,408,604
755,5.659349558,3.128520465,408,316
756,6.11783253,3.575520074,408,426
757,6.307126177,4.243544348,408,984
758,6.658264765,3.685430293,408,415
759,7.71539449,5.006046868,408,479
760,7.71539449,5.006046868,408,478
761,8.283307,4.69397225,408,218
762,8.514028642,5.82077723,408,0
763,8.91673418,5.369633881,408,264
764,9.309985674,5.304884995,408,437
765,9.377784252,5.64018518,408,405
766,9.678350078,5.663288764,408,515
